species,decimalLatitude,decimalLongitude,prediction
Abelmoschus crinitus,22.746128,77.719353,0
Abelmoschus esculentus,9.928268,76.314519,1
Abelmoschus esculentus,9.931233,76.267304,1
Abelmoschus esculentus,10.184735,76.242119,1
Abelmoschus manihot,19.031208,73.242358,8
Abies densa,27.774696,88.541222,2
Abies densa,27.895832,88.534439,2
Abies spectabilis,30.701361,79.593353,6
Abisara bifasciata,10.299296,76.415573,1
Abisara bifasciata,12.83784,77.589327,7
Abisara bifasciata,14.964311,74.712077,3
Abisara bifasciata,22.429317,88.400685,4
Abisara bifasciata,22.917767,77.722294,0
Abisara bifasciata,23.399176,86.990489,4
Abisara bifasciata,24.97501,93.979752,2
Abisara fylla,26.722933,89.604309,2
Abisara fylla,27.372426,88.222991,2
Abrus fruticulosus,8.713913,77.756653,1
Abrus precatorius,8.567545,77.139168,1
Abrus precatorius,10.972533,76.154324,1
Abrus precatorius,12.854315,77.509945,7
Abrus precatorius,17.774405,81.926918,5
Abrus precatorius,25.213816,75.864753,0
Abrus precatorius,26.435129,91.445602,2
Abrus precatorius,26.8694,75.8151,0
Abrus precatorius,27.628584,75.408249,0
Abutilon indicum,8.0903,77.4869,1
Abutilon indicum,25.2252,75.834,0
Abutilon indicum,28.4863,77.1136,6
Abutilon theophrasti,22.7513,77.7457,0
Acacia auriculiformis,19.6484,85.1133,4
Acacia auriculiformis,19.8194,85.8585,4
Acacia auriculiformis,20.1861,85.4334,4
Acacia auriculiformis,20.1873,85.4296,4
Acacia auriculiformis,20.1874,85.4318,4
Acacia auriculiformis,20.1978,85.4306,4
Acacia auriculiformis,23.6493,88.1271,4
Acacia auriculiformis,26.8398,75.8021,0
Acacia auriculiformis,26.840063,75.802062,0
Acacia auriculiformis,32.653252,74.792175,6
Acacia mangium,9.498708,76.329086,1
Acacia mangium,12.853538,77.509712,7
Acacia mangium,22.990319,87.008042,4
Acalypha ciliata,8.713913,77.756653,1
Acalypha indica,8.895816,76.578146,1
Acalypha indica,12.971599,77.594563,7
Acalypha indica,19.8798,75.3222,8
Acalypha wilkesiana,11.928525,79.823021,7
Acampe ochracea,24.43202,92.330688,2
Acanthodactylus cantoris,26.724993,70.597855,0
Acanthodactylus cantoris,26.830453,70.507157,0
Acanthodactylus cantoris,26.882992,70.534449,0
Acanthus ilicifolius,15.545063,73.827194,3
Acanthus ilicifolius,25.23,73.230003,0
Accipiter badius,8.68425,77.135411,1
Accipiter badius,9.983871,76.297958,1
Accipiter badius,11.687524,78.161103,7
Accipiter badius,12.307237,76.657021,7
Accipiter badius,12.86695,77.594894,7
