species,decimalLatitude,decimalLongitude,individualCount
Abelmoschus crinitus,22.746128,77.719353,87
Abelmoschus esculentus,8.9899,76.8507,206
Abelmoschus ficulneus,12.225285,79.074699,194
Abelmoschus manihot,22.706496,77.739843,173
Abies densa,26.885296,88.182793,208
Abies pindrow,30.728041,79.605301,191
Abies spectabilis,30.126844,79.70385,28
Abisara bifasciata,14.964311,74.712077,210
Abisara fylla,26.915907,88.402817,192
Abisara neophron,27.472834,94.911964,109
Ablepharus grayanus,24.58532,72.706032,101
Abroscopus superciliaris,24.441694,92.385063,38
Abrus fruticulosus,12.1267,75.5231,199
Abrus precatorius,12.854315,77.509945,209
Abutilon hirtum,22.430889,87.321487,10
Abutilon indicum,28.4863,77.1136,196
Abutilon pannosum,12.9698,77.749947,5
Abutilon persicum,12.975223,77.74881,177
Abutilon ranadei,16.678024,74.255539,33
Abutilon theophrasti,13.117596,80.172859,49
Acacia auriculiformis,20.1872,85.4296,196
Acacia elata,10.238113,77.489182,83
Acacia maidenii,8.183286,77.411903,165
Acacia mangium,22.990319,87.008042,198
Acacia mearnsii,11.25148,76.582947,118
Acacia melanoxylon,11.305856,76.614532,83
Acacia neriifolia,12.951237,77.590378,192
Acacia pycnantha,26.014149,90.3638,131
Acalypha capitata,13.170984,80.199112,205
Acalypha ciliata,8.713913,77.756653,118
Acalypha hispida,9.570541,76.494125,178
Acalypha indica,19.8798,75.3222,195
Acalypha lanceolata,9.369502,76.460342,164
Acalypha spiciflora,10.358782,76.887993,167
Acalypha wilkesiana,20.2753,85.8179,172
Acampe ochracea,24.43202,92.330688,135
Acampe praemorsa,14.818481,74.141609,48
Acanthodactylus cantoris,26.825097,70.430439,124
Acanthospermum hispidum,12.912968,77.292236,144
Acanthus ilicifolius,8.893211,76.614143,188
Accipiter badius,17.665363,80.894005,208
Accipiter nisus,11.497915,76.629719,209
Accipiter trivirgatus,12.221918,75.651855,159
Accipiter virgatus,22.535231,72.986313,177
Acer oblongum,30.344999,77.995552,185
Aceros nipalensis,26.645924,89.549003,150
Achaea janata,18.540813,73.453217,180
Achaea mercatoria,25.612099,91.897713,44
Achaea mezentia,10.786731,76.654793,188
Achaea serva,14.109711,74.78933,95
Acherontia lachesis,19.516542,83.507287,187
Acherontia styx,22.467445,78.434586,200
Achillea filipendulina,25.193636,93.018982,129
Achillea millefolium,11.400726,76.735817,108
Achimenes longiflora,9.948568,76.948268,85
Achyranthes aspera,25.1881,75.8542,182
Achyranthes bidentata,25.3677,76.0064,64
Aciagrion approximans,16.1031,74.1242,44
Aciagrion occidentale,24.425633,92.338816,192
Aciagrion pallidum,17.433979,73.668747,144
Acilepis divergens,18.540813,73.453217,189
Acisoma panorpoides,22.192488,88.185715,209
Acmella ciliata,24.73246,92.882584,173
Acmella oleracea,12.919904,79.139465,169
Acmella paniculata,9.594826,76.363823,157
Acmella uliginosa,24.379259,92.182368,86
Acolutha pictaria,27.337797,88.612892,83
Acontia crocata,25.1839,75.8263,197
Acontia nitidula,24.928004,87.648069,87
Acosmeryx anceus,26.142598,91.643536,63
Acraea terpsicore,13.034555,80.263023,211
Acraea vesta,26.645924,89.549004,187
Acraea violae,18.299423,74.753723,211
Acridotheres fuscus,26.115792,91.708593,210
Acridotheres ginginianus,25.326555,82.981178,169
Acridotheres grandis,26.116398,91.683289,185
Acridotheres tristis,9.919647,76.635056,208
Acritillas indica,11.353002,76.79591,209
Acrocarpus fraxinifolius,12.721851,77.569107,76
Acrocephalus agricola,28.52673,77.575363,154
Acrocephalus bistrigiceps,20.1962,85.4375,166
Acrocephalus dumetorum,12.207993,75.832275,201
Acrocephalus stentoreus,24.356598,88.121361,209
Acronychia pedunculata,12.42442,75.738182,86
Acropteris iphiata,27.491903,96.212479,72
Acropteris striataria,25.271656,91.730804,163
Acrostichum aureum,9.481674,76.387878,85
Acrotrema arnottianum,8.4875,76.952499,40
Actias maenas,12.425975,75.729507,176
Actias rhodopneuma,25.591917,94.383339,157
Actias selene,13.599427,75.815262,199
Actiniopteris radiata,11.735546,77.749449,171
Actinodaphne bourdillonii,10.098332,77.090546,191
Actinodaphne lanceolata,18.540813,73.453217,141
Actinodaphne lawsonii,12.224535,75.649574,150
Actinodaphne madraspatana,14.608028,74.847038,86
Actinodaphne tadulingamii,12.596304,75.606613,180
Actinodaphne wightiana,8.624872,77.144203,161
Actinodura egertoni,27.353325,88.514786,108
Actitis hypoleucos,13.070292,77.769526,210
Acytolepis puspa,14.606078,74.848429,211
Adansonia digitata,26.8666,75.8082,201
Adenanthera pavonina,8.515878,76.950775,180
Adenia hondala,13.502664,75.090317,177
Adenium obesum,20.63479,82.061497,200
Adenoon indicum,17.724163,73.827927,148
Adiantum alarconianum,27.028324,76.058615,122
Adiantum capillus-veneris,9.498708,76.329086,106
Adiantum hispidulum,26.233225,91.931709,71
Adiantum raddianum,10.100371,76.357038,150
Adina cordifolia,13.07,77.800003,157
Adisura marginalis,17.647591,73.91436,140
Aedes aegypti,10.100371,76.357038,152
Aegiceras corniculatum,16.633656,73.380135,102
Aeginetia indica,25.143524,94.28334,201
Aeginetia pedunculata,12.146,75.5202,82
Aegithalos concinnus,27.155851,92.462997,211
Aegithina nigrolutea,15.275533,76.491631,126
Aegithina tiphia,12.424339,76.654488,209
Aegle marmelos,22.9928,86.996,207
Aegocera bimacula,26.745993,91.020325,137
Aegocera venulia,26.623138,75.025031,192
Aegypius monachus,30.705967,76.975827,6
Aenhenrya rotundifolia,10.117255,76.926854,152
Aerides crispa,18.698286,73.390045,202
Aerides maculosa,17.432678,73.503632,200
Aerides multiflora,24.685911,92.751755,107
Aerides odorata,23.200277,86.126732,193
Aerides ringens,14.608234,74.84478,182
Aerides rosea,27.206396,95.443893,198
Aeromachus jhora,27.130238,88.804687,131
Aeromachus pygmaeus,14.464409,75.921758,200
Aeromachus stigmata,26.722933,89.604309,44
Aerva javanica,26.9589,75.7949,88
Aeschynanthus perrottetii,11.129698,76.41346,113
Aeschynomene americana,11.572177,76.642715,85
Aeschynomene aspera,10.564628,76.188698,178
Aeschynomene indica,25.2006,75.8042,118
Aesculus assamica,30.316494,78.032188,60
Aesculus indica,31.104811,77.173733,184
Aethaloessa calidalis,27.341198,88.609856,207
Aetholix flavibasalis,24.43202,92.330688,19
Aethopyga ignicauda,28.216534,95.796234,198
Aethopyga nipalensis,27.155851,92.462997,201
Aethopyga saturata,27.136147,92.454926,108
Aethopyga siparaja,30.391914,77.943611,199
Aethopyga vigorsii,19.148493,72.88176,177
Aethriamanta brevipennis,23.028713,88.855705,202
Aetius decollatus,12.626927,80.192711,200
Aetomylaeus maculatus,13.347199,74.691925,156
Aganope thyrsiflora,11.895834,75.748413,191
Agapanthus africanus,10.229282,77.457283,58
Agapetes odontocera,25.143525,94.283342,166
Agapetes serpens,27.33872,88.608986,110
Agathia laetata,23.269365,86.012428,174
Agathia lycaenaria,10.496141,76.159752,178
Agathis robusta,30.34325,77.955894,132
Agathodes ostentalis,13.502664,75.090317,210
Agave americana,25.505688,92.736359,179
Agave amica,22.680816,88.35242,116
Ageratina adenophora,11.483709,76.515099,200
Ageratina riparia,25.613775,91.896309,175
Ageratum conyzoides,22.7334,77.7373,209
Ageratum houstonianum,25.612099,91.897713,192
Aglaia elaeagnoidea,12.057682,79.870262,123
Aglaia simplicifolia,12.386219,75.529854,183
Aglaia spectabilis,26.997346,94.364221,174
Aglaia tomentosa,12.171897,75.878296,185
Aglais caschmirensis,29.460415,79.655824,209
Aglais ladakensis,34.154999,77.585449,155
Aglais urticae,25.143524,94.28334,202
Aglaomorpha plagiata,25.517702,91.263565,181
Agriocnemis femina,21.256998,79.089927,197
Agriocnemis kalinga,21.697384,88.266243,206
Agriocnemis keralensis,10.527642,76.214435,134
Agriocnemis lacteola,21.69004,88.249282,185
Agriocnemis pieris,8.405074,77.005593,200
Agriocnemis pygmaea,28.915768,79.509502,211
Agriocnemis splendidissima,10.103771,76.702766,106
Agrioglypta eurytusalis,8.088306,77.538452,105
Agrionoptera insignis,8.098474,93.510269,95
Agrius convolvuli,11.379435,76.744242,203
Agrostistachys borneensis,8.504928,77.466446,179
Agrostistachys indica,12.187798,75.799828,70
Agrotera basinotata,18.540813,73.453217,152
Agrotis segetum,11.400908,76.714218,139
Ahaetulla anomala,23.640292,88.122918,197
Ahaetulla dispar,9.260285,77.072731,173
Ahaetulla nasuta,18.988659,73.271179,209
Ahaetulla perroteti,11.589603,76.491365,133
Ahaetulla pulverulenta,10.454389,76.971329,144
Ailanthus excelsa,26.8564,75.7996,211
Ailanthus integrifolia,24.3628,73.7283,54
Ailanthus triphysa,13.034428,77.590401,102
Ailurus fulgens,27.037722,88.262871,126
Aix galericulata,24.628138,93.80127,187
Alangium platanifolium,12.846176,77.542664,184
Alangium salviifolium,13.827609,78.42379,193
Alauda gulgula,22.572645,88.363892,146
Albizia amara,12.982304,79.259209,185
Albizia chinensis,11.896151,75.734245,211
Albizia julibrissin,11.92484,79.81739,210
Albizia lebbeck,20.096,85.6231,211
Albizia lucidior,26.144516,91.736237,175
Albizia myriophylla,27.5741,95.3268,42
Albizia odoratissima,12.974656,77.596222,46
Albizia procera,18.367846,73.707802,159
Alcea rosea,28.594389,77.243826,81
Alcedo atthis,27.159609,77.521813,210
Alcedo meninting,13.490979,75.065773,199
Alcippe castaneceps,22.6907,92.9477,109
Alcippe cinerea,27.136147,92.454926,181
Alcippe nipalensis,24.352674,92.344818,161
Alcippe poioicephala,11.356856,76.925799,200
Alectoris chukar,34.154999,77.585449,124
Alepes djedaba,9.931233,76.267304,162
Aletris pauciflora,27.895832,88.534439,51
Algia fasciata,25.134853,92.380643,196
Alkekengi officinarum,26.154375,91.659416,70
Allamanda blanchetii,11.935064,79.80809,178
Allamanda cathartica,10.511146,76.258424,205
Allamanda schottii,25.98606,90.786566,143
Allium cepa,22.681169,88.352081,111
Allium hookeri,25.143525,94.283342,205
Allium sativum,25.143524,94.28334,70
Allmania nodiflora,12.883147,79.1483,142
Allopeas gracile,22.681172,88.352083,162
Allophylus cobbe,12.916516,79.1325,175
Alloteropsis cimicina,19.168195,73.286856,151
Alnus nepalensis,25.612099,91.897713,204
Aloa lactinea,23.269365,86.012428,201
Alocasia odora,10.452874,76.297146,59
Aloe vera,9.931233,76.267304,210
Alophoixus flaveolus,24.43202,92.330688,116
Alpinia calcarata,10.026405,76.381271,150
Alpinia purpurata,12.304175,76.64547,192
Alseodaphne semecarpifolia,14.617094,74.844864,181
Alsophila crinita,10.180626,77.189598,80
Alsophila nilgirensis,9.440478,77.160347,135
Alstonia macrophylla,13.012764,77.646454,170
Alstonia scholaris,18.9775,73.0292,211
Alstonia venenata,8.709838,77.129105,143
Alstroemeria aurea,25.613142,91.898147,211
Alternanthera bettzickiana,26.017452,90.307098,104
Alternanthera ficoidea,8.549304,76.977264,169
Alternanthera paronychioides,12.933058,79.147483,187
Alternanthera philoxeroides,9.594826,76.363823,200
Alternanthera pungens,12.9698,77.749947,102
Alternanthera sessilis,25.133112,93.018822,207
Alysicarpus glumaceus,8.269011,77.686539,63
Alysicarpus longifolius,22.744108,77.736969,21
Alysicarpus monilifer,8.713913,77.756653,196
Alysicarpus ovalifolius,11.604632,77.076591,165
Amandava amandava,19.149872,72.87661,207
Amanita muscaria,11.366133,76.799286,167
Amaranthus blitum,8.269011,77.686539,109
Amaranthus caudatus,9.322183,76.383987,55
Amaranthus hybridus,18.811142,72.938426,82
Amaranthus spinosus,25.187439,93.01429,151
Amaranthus tricolor,10.100371,76.357038,203
Amaranthus viridis,20.169433,85.333005,205
Amata bicincta,18.540813,73.453217,79
Amata cyssea,30.32062,76.395126,172
Amata passalis,20.1976,85.4399,211
Amata phegea,8.549304,76.977264,144
Amata sperbius,24.43202,92.330688,130
Amathuxidia amythaon,24.352674,92.344815,154
Amaurornis akool,17.33077,78.390152,166
Amaurornis phoenicurus,8.092881,93.586372,211
Amblonyx cinereus,11.064129,76.537819,190
Amblychia angeronaria,8.088306,77.538452,182
Amblychia hymenaria,24.43202,92.330688,205
Amblypharyngodon mola,26.724726,94.193619,151
Amblypodia anita,19.018236,73.279388,198
Ambulyx sericeipennis,28.569129,95.056736,196
Amegilla cingulifera,13.718855,75.121817,173
Amegilla violacea,8.4203,77.0077,38
Amerila astreus,9.730838,76.367683,205
Amherstia nobilis,12.949337,77.585136,205
Ammomanes phoenicura,19.860656,74.012654,208
Amnirana nicobariensis,8.0475,93.526077,172
Amolops assamensis,25.250479,91.672409,187
Amolops himalayanus,27.823635,88.556534,63
Amolops marmoratus,28.11786,95.822591,178
Amolops monticola,27.138208,88.039284,152
Amolops viridimaculatus,28.11786,95.822591,107
Amorphophallus bulbifer,24.435005,92.324211,192
Amorphophallus commutatus,16.935303,73.803749,124
Amorphophallus paeoniifolius,10.452874,76.297146,206
Amorphophallus sylvaticus,12.187798,75.799828,99
Ampelocissus tomentosa,8.709838,77.129105,62
Amphiallagma parvum,23.200277,86.126732,173
Amphiesma stolatum,23.490643,80.108101,205
Amphigonia hepatizans,14.619639,74.844077,13
Amphithemis vacillans,26.645924,89.549004,131
Ampittia dioscorides,22.739138,88.435072,205
Amplypterus panopus,13.406982,75.742828,137
Ampulex compressa,8.549448,76.973816,202
Amyciaea forticeps,13.332059,74.743034,101
Amyda cartilaginea,23.73827,92.712036,181
Amyna axis,17.357428,78.427773,166
Amyna punctum,25.612099,91.897713,210
Anacardium occidentale,16.627445,73.3489,196
Anaciaeschna jaspidea,28.551442,77.318522,174
Ananas comosus,9.939205,76.295981,183
Anaphalis lawii,11.410204,76.695032,130
Anaphalis neelgerryana,11.428046,76.560379,125
Anaphyllum wightii,8.4875,76.952499,86
Anas acuta,25.199998,75.788745,187
Anas crecca,28.382875,80.401347,195
Anas platyrhynchos,34.063259,74.859482,185
Anas poecilorhyncha,12.171582,76.755157,210
Anastomus oscitans,8.623489,78.072747,207
Anathana ellioti,19.409936,72.888633,176
Anax ephippiger,27.203247,77.507022,211
Anax guttatus,12.971599,77.594566,197
Anax immaculifrons,21.861528,76.321564,206
Anax imperator,19.071969,73.535694,28
Anax indicus,12.316853,76.598306,205
Anax parthenope,21.488756,72.946476,177
Ancema ctesia,27.520622,93.841187,207
Ancistrocladus heyneanus,11.835634,75.8563,164
Ancistroides nigrita,24.352674,92.344815,177
Ancylolomia saundersiella,30.129789,79.384567,181
Ancylolomia taprobanensis,16.728104,76.798569,4
Andrographis echioides,13.170984,80.199112,164
Andrographis elongata,12.982304,79.259209,115
Andrographis lawsonii,11.433705,76.552223,20
Andrographis lobelioides,11.305856,76.614532,36
Andrographis paniculata,22.192688,88.189488,210
Andrographis serpyllifolia,11.504776,77.238396,196
Androsace sempervivoides,30.454533,78.117775,1
Anemonastrum tetrasepalum,30.728041,79.605301,101
Anepsion maritatum,12.227628,76.612388,157
Angelonia angustifolia,12.873392,75.646362,187
Anguilla bengalensis,26.98744,94.3144,208
Angulyagra oxytropis,25.143525,94.283342,187
Anhinga melanogaster,11.82139,79.783033,211
Anisephyra ocularia,12.97,77.589996,196
Anisomeles heyneana,12.873392,75.646362,203
Anisomeles indica,22.685139,88.321112,197
Anisomeles malabarica,10.229282,77.457283,56
Anisopleura subplatystyla,25.143524,94.28334,132
Annona muricata,10.259919,76.304385,210
Annona reticulata,26.8678,75.8152,208
Annona squamosa,20.186258,85.622274,184
Anomis flava,8.088306,77.538452,178
Anomis fulvida,17.767697,73.191012,39
Anomis privata,25.589701,91.875816,7
Anonychia grisea,30.465218,78.012733,184
Anoplolepis gracilipes,8.546519,76.974388,207
Anous tenuirostris,13.417738,80.318525,146
Anser anser,23.688576,87.666898,159
Anser indicus,18.278051,74.780561,207
Anthene emolus,23.200277,86.126732,209
Anthene lycaenina,11.6858,78.1761,200
Antheraea assamensis,26.750976,91.237164,164
Antheraea mylitta,24.833445,92.780907,182
Antheraea paphia,25.143525,94.283342,200
Antheraea pernyi,13.599427,75.815262,128
Anthracoceros albirostris,28.540171,80.616266,177
Anthracoceros coronatus,15.242142,74.618314,203
Anthropoides virgo,27.794439,74.414688,129
Anthurium andraeanum,9.991997,76.265687,179
Anthus campestris,15.39675,75.064034,203
Anthus hodgsoni,21.677502,79.339798,207
Anthus nilghiriensis,11.413103,76.695969,209
Anthus richardi,27.896488,77.372635,130
Anthus roseatus,23.47147,87.30618,157
Anthus rufulus,12.967263,74.847125,205
Anthus similis,18.654576,72.902347,114
Anthus sylvanus,29.423611,79.426941,44
Anthus trivialis,12.386691,76.686028,122
Antiaris toxicaria,8.504928,77.466446,180
Anticarsia irrorata,14.351889,75.739738,208
