species,decimalLatitude,decimalLongitude,eventDate,occurrenceStatus,individualCount
Abelmoschus crinitus,22.746128,77.719353,2012-10-24,PRESENT,87
Abelmoschus esculentus,9.928268,76.314519,2020-10-30,PRESENT,151
Abelmoschus esculentus,9.931233,76.267304,2020-10-30,PRESENT,163
Abelmoschus esculentus,10.184735,76.242119,2021-01-27,PRESENT,145
Abelmoschus manihot,19.031208,73.242358,2019-09-30,PRESENT,37
Abies densa,27.774696,88.541222,2016-05-28,PRESENT,154
Abies densa,27.895832,88.534439,2016-05-28,PRESENT,112
Abies spectabilis,30.701361,79.593353,2016-09-06,PRESENT,13
Abisara bifasciata,10.299296,76.415573,2019-11-24,PRESENT,189
Abisara bifasciata,12.83784,77.589327,2023-03-17,PRESENT,169
Abisara bifasciata,14.964311,74.712077,2018-11-27,PRESENT,210
Abisara bifasciata,22.429317,88.400685,2017-05-02,PRESENT,174
Abisara bifasciata,22.917767,77.722294,2021-09-11,PRESENT,97
Abisara bifasciata,23.399176,86.990489,2018-10-31,PRESENT,182
Abisara bifasciata,24.97501,93.979752,2016-08-18,PRESENT,116
Abisara fylla,26.722933,89.604309,2020-11-06,PRESENT,108
Abisara fylla,27.372426,88.222991,2019-08-12,PRESENT,40
Abrus fruticulosus,8.713913,77.756653,2015-11-29,PRESENT,190
Abrus precatorius,8.567545,77.139168,2014-11-16,PRESENT,90
Abrus precatorius,10.972533,76.154324,2020-09-27,PRESENT,75
Abrus precatorius,12.854315,77.509945,2019-09-27,PRESENT,209
Abrus precatorius,17.774405,81.926918,2012-02-20,PRESENT,40
Abrus precatorius,25.213816,75.864753,2024-03-23,PRESENT,120
Abrus precatorius,26.435129,91.445602,2017-09-21,PRESENT,48
Abrus precatorius,26.8694,75.8151,2024-01-14,PRESENT,99
Abrus precatorius,27.628584,75.408249,2015-03-29,PRESENT,179
Abutilon indicum,8.0903,77.4869,2022-10-08,PRESENT,172
Abutilon indicum,25.2252,75.834,2022-11-20,PRESENT,187
Abutilon indicum,28.4863,77.1136,2024-01-15,PRESENT,196
Abutilon theophrasti,22.7513,77.7457,2023-11-12,PRESENT,39
Acacia auriculiformis,19.6484,85.1133,2024-04-14,PRESENT,81
Acacia auriculiformis,19.8194,85.8585,2023-10-23,PRESENT,18
Acacia auriculiformis,20.1861,85.4334,2024-04-17,PRESENT,37
Acacia auriculiformis,20.1873,85.4296,2024-05-10,PRESENT,84
Acacia auriculiformis,20.1874,85.4318,2024-01-29,PRESENT,161
Acacia auriculiformis,20.1978,85.4306,2024-04-20,PRESENT,126
Acacia auriculiformis,23.6493,88.1271,2023-12-12,PRESENT,172
Acacia auriculiformis,26.8398,75.8021,2023-11-21,PRESENT,65
Acacia auriculiformis,26.840063,75.802062,2023-09-29,PRESENT,82
Acacia auriculiformis,32.653252,74.792175,2018-04-26,PRESENT,41
Acacia mangium,9.498708,76.329086,2015-04-27,PRESENT,176
Acacia mangium,12.853538,77.509712,2013-07-27,PRESENT,32
Acacia mangium,22.990319,87.008042,2021-04-30,PRESENT,198
Acalypha ciliata,8.713913,77.756653,2015-12-01,PRESENT,118
Acalypha indica,8.895816,76.578146,2020-06-12,PRESENT,74
Acalypha indica,12.971599,77.594563,2020-09-05,PRESENT,136
Acalypha indica,19.8798,75.3222,2020-09-03,PRESENT,195
Acalypha wilkesiana,11.928525,79.823021,2015-06-19,PRESENT,123
Acampe ochracea,24.43202,92.330688,2018-01-01,PRESENT,135
Acanthodactylus cantoris,26.724993,70.597855,2016-08-29,PRESENT,116
Acanthodactylus cantoris,26.830453,70.507157,2014-09-07,PRESENT,92
Acanthodactylus cantoris,26.882992,70.534449,2019-03-27,PRESENT,96
Acanthus ilicifolius,15.545063,73.827194,2015-01-08,PRESENT,27
Acanthus ilicifolius,25.23,73.230003,2014-12-31,PRESENT,118
Accipiter badius,8.68425,77.135411,2022-06-09,PRESENT,124
Accipiter badius,9.983871,76.297958,2013-08-29,PRESENT,63
Accipiter badius,11.687524,78.161103,2022-01-10,PRESENT,182
Accipiter badius,12.307237,76.657021,2015-03-22,PRESENT,161
Accipiter badius,12.86695,77.594894,2012-09-22,PRESENT,58
Accipiter badius,12.868266,77.563375,2023-01-09,PRESENT,12
