species,totalCount
Acritillas indica,2148
Corvus splendens,8412
Eurrhyparodes bracteolalis,1161
Ficus rumphii,18
Macroglossum passalus,83
Portulaca oleracea,1120
Prunus domestica,202
Rhabdophis plumbicolor,3163
Seseria sambara,293
Silene conoidea,166
Talicada nyseus,14400
Theobroma cacao,1630
Anthus trivialis,222
Casearia tomentosa,216
Charadrius mongolus,575
Chukrasia tabularis,163
Hemidactylus gujaratensis,110
Justicia carnea,3
Kaempferia rotunda,145
Muscicapa striata,13
Nausinoe pueritia,613
Paguma larvata,261
Polytremis lubricans,184
Aquila chrysaetos,56
Eois grataria,6
Goniothalamus rhynchantherus,109
Ixora malabarica,138
Sycanus collaris,81
Aesculus assamica,60
Anas acuta,1891
Botyodes flavibasalis,549
Celaenorrhinus leucocera,1457
Cullenia exarillata,615
Dendrocitta formosae,813
Gerres erythrourus,8
Hottentotta tamulus,159
Ocyceros griseus,3021
Oxya chinensis,728
Pistia stratiotes,2060
Rhynchosia densiflora,360
Senna occidentalis,699
Sphaerotheca rolandae,338
Sturnia malabarica,3243
Ziziphus xylopyrus,770
Causonis trifolia,512
Euryops chrysanthemoides,118
Ludwigia octovalvis,423
Micrixalus sali,148
Narycius opalus,244
Tephrosia maxima,109
Coelogyne imbricata,85
Elaeocarpus serratus,209
Paracrama dulcissima,36
Prinsepia utilis,158
Vatica chinensis,271
Calesia haemorrhoa,172
Hirundo domicola,171
Amaurornis phoenicurus,7669
Ardisia humilis,363
Areas imperialis,86
Handroanthus impetiginosum,442
Hemidactylus reticulatus,492
Impatiens balsamina,2224
Lexias pardalis,382
Lyssa zampa,1810
Nymphaea alba,651
Pachylocerus corallinus,92
Pseudocopera ciliata,1749
Auzakia danava,454
Cacomantis merulinus,378
Celaenorrhinus putra,199
Japalura austeniana,54
Jasminum fluminense,71
Orophea erythrocarpa,118
Rhinolophus lepidus,301
Batasio fasciolatus,35
Dentella repens,364
Faunis canens,76
Ixos mcclellandii,310
Protuliocnemis biplagiata,79
Calamus tenuis,34
Coeliccia bimaculata,123
Entomogramma torsa,163
Utricularia albocaerulea,8
Agathia lycaenaria,374
Ariadne ariadne,8846
Capparis diversifolia,122
Euploea radamanthus,546
Gustavia augusta,180
Herpestes edwardsi,4295
Hypocala subsatura,147
Kaniska canace,1733
Micrixalus niluvasei,184
Ochna lanceolata,623
Ophisops leschenaultii,376
Phyllanthus niruri,562
Terminalia chebula,1370
Trigoniulus corallinus,417
Tristellateia australasiae,151
Vanessa indica,2559
Amphiallagma parvum,978
Asota paphos,293
Heliconia latispatha,149
Loxia curvirostra,196
Passer hispaniolensis,4
Sonerila devicolamensis,141
Dacrymyces spathularius,191
Koelreuteria paniculata,176
Mycetia acuminata,162
Paracalyx scariosus,140
Bergia ammannioides,52
Alternanthera ficoidea,309
Aularches miliaris,547
Bridelia stipularis,729
Bubo bubo,616
Chamaecrista mimosoides,89
Curetis thetis,4995
Dysphania nelera,240
Jasminum arborescens,76
Kleinia grandiflora,59
Murdannia loriformis,173
Numenius arquata,731
Sida acuta,511
Thalasseus bengalensis,58
Thomisus lobosus,589
Casearia graveolens,318
Conostoma aemodium,117
Indosylvirana doni,185
Mesida culta,294
Monilesaurus montanus,165
Aythya marila,54
Blepharis integrifolia,137
Calceolaria mexicana,65
Lancea tibetica,49
Stachyridopsis ruficeps,164
Artena rubida,159
Coracias affinis,116
Eriophyton tibeticum,124
Agrius convolvuli,1332
Batagur baska,81
Castalius rosimon,25649
Curculigo orchioides,2152
Gallirallus striatus,207
Grangea maderaspatana,929
Hipposideros galeritus,264
Holarrhena pubescens,3489
Ipomoea sagittifolia,577
Nyctibatrachus anamallaiensis,388
Nyctibatrachus jog,509
Papilio castor,690
Prionailurus bengalensis,1203
Psittacula krameri,12186
Tipuana tipu,141
Triumfetta rhomboidea,631
Zephyranthes citrina,97
Anthus roseatus,317
Bhutanitis lidderdalii,153
Chaimarrornis leucocephalus,560
Colias fieldii,389
Cryptolepis buchananii,525
Nausinoe perspectata,763
Sarcostigma kleinii,502
Amaranthus tricolor,203
Cynopterus brachyotis,293
Plectrurus aureus,159
Siganus vermiculatus,133
Heteracris littoralis,10
Bastilla crameri,762
Boiga siamensis,370
Canis aureus,3016
Cirrochroa tyche,955
Ixias marianne,4246
Marsilea minuta,292
Mitracarpus hirtus,301
Muntingia calabura,2967
Omphisa anastomosalis,349
Pericrocotus roseus,265
Prosotas nora,5526
Samadera indica,432
Solanum betaceum,261
Tabebuia rosea,1265
Tabernaemontana divaricata,3740
Ypthima baldus,11311
Antipercnia belluaria,202
Hemidactylus scabriceps,97
Mastacembelus armatus,149
Ocypode macrocera,127
Paris polyphylla,162
Ropalidia fasciata,117
Yuhina occipitalis,91
Amblychia hymenaria,293
Bauhinia tomentosa,321
Eryngium foetidum,202
Gyrinops walla,190
Oenanthe picata,98
Camaricus rinkae,53
Celastrina huegeli,197
Clinopodium umbrosum,211
Neostylopyga rhombifolia,104
Anas crecca,900
Biston suppressaria,764
Cassia fistula,12311
